user_id,email,username,user_type,total_spent,order_count
1,a@a.com,alpha,super_admin,0.0,0.0
2,a@w.com,waiter alpha,waiter,24.26,5.0
3,a@u.com,user one,user,0.0,0.0
4,a@o.com,owner,restaurant_owner,0.0,0.0
7,owner1@example.com,owner1234,restaurant_owner,0.0,0.0
8,seeded.user.1@example.com,seeded_user_1,user,3346.22,18.0
9,seeded.user.2@example.com,seeded_user_2,user,2773.3199999999997,13.0
10,seeded.user.3@example.com,seeded_user_3,user,1659.76,8.0
11,seeded.user.4@example.com,seeded_user_4,user,2071.62,12.0
12,seeded.user.5@example.com,seeded_user_5,user,1602.71,9.0
13,seeded.user.6@example.com,seeded_user_6,user,2504.3900000000003,13.0
14,seeded.user.7@example.com,seeded_user_7,user,1397.92,11.0
15,seeded.user.8@example.com,seeded_user_8,user,2447.18,14.0
16,seeded.user.9@example.com,seeded_user_9,user,2353.95,13.0
17,seeded.user.10@example.com,seeded_user_10,user,3257.68,18.0
18,seeded.user.11@example.com,seeded_user_11,user,2229.36,15.0
19,seeded.user.12@example.com,seeded_user_12,user,1901.12,10.0
20,seeded.user.13@example.com,seeded_user_13,user,892.48,6.0
21,seeded.user.14@example.com,seeded_user_14,user,2902.5,14.0
22,seeded.user.15@example.com,seeded_user_15,user,2962.93,10.0
23,seeded.user.16@example.com,seeded_user_16,user,3483.58,12.0
24,seeded.user.17@example.com,seeded_user_17,user,1524.4499999999998,7.0
25,seeded.user.18@example.com,seeded_user_18,user,3786.43,11.0
26,seeded.user.19@example.com,seeded_user_19,user,1428.96,12.0
27,seeded.user.20@example.com,seeded_user_20,user,2120.01,10.0
28,seeded.user.21@example.com,seeded_user_21,user,1670.08,11.0
29,seeded.user.22@example.com,seeded_user_22,user,4804.91,18.0
30,seeded.user.23@example.com,seeded_user_23,user,1203.83,6.0
31,seeded.user.24@example.com,seeded_user_24,user,2582.88,16.0
32,seeded.user.25@example.com,seeded_user_25,user,3205.2599999999998,14.0
33,seeded.user.26@example.com,seeded_user_26,user,1099.2,10.0
34,seeded.user.27@example.com,seeded_user_27,user,1430.07,9.0
35,seeded.user.28@example.com,seeded_user_28,user,2914.33,14.0
36,seeded.user.29@example.com,seeded_user_29,user,1683.1799999999998,11.0
37,seeded.user.30@example.com,seeded_user_30,user,3311.28,19.0
38,seeded.user.31@example.com,seeded_user_31,user,3204.31,17.0
39,seeded.user.32@example.com,seeded_user_32,user,4553.57,21.0
40,seeded.user.33@example.com,seeded_user_33,user,2424.79,10.0
41,seeded.user.34@example.com,seeded_user_34,user,3266.0,15.0
42,seeded.user.35@example.com,seeded_user_35,user,1776.41,13.0
43,seeded.user.36@example.com,seeded_user_36,user,2377.45,15.0
44,seeded.user.37@example.com,seeded_user_37,user,1558.8999999999999,10.0
45,seeded.user.38@example.com,seeded_user_38,user,1944.25,12.0
46,seeded.user.39@example.com,seeded_user_39,user,2845.0699999999997,10.0
47,seeded.user.40@example.com,seeded_user_40,user,2143.29,10.0
48,seeded.user.41@example.com,seeded_user_41,user,3499.22,17.0
49,seeded.user.42@example.com,seeded_user_42,user,2201.0299999999997,16.0
50,seeded.user.43@example.com,seeded_user_43,user,1937.07,9.0
51,seeded.user.44@example.com,seeded_user_44,user,3300.3,13.0
52,seeded.user.45@example.com,seeded_user_45,user,1951.91,14.0
53,seeded.user.46@example.com,seeded_user_46,user,1472.76,9.0
54,seeded.user.47@example.com,seeded_user_47,user,1526.06,11.0
55,seeded.user.48@example.com,seeded_user_48,user,2173.7400000000002,12.0
56,seeded.user.49@example.com,seeded_user_49,user,1156.06,11.0
57,seeded.user.50@example.com,seeded_user_50,user,1418.45,13.0
58,seeded.user.51@example.com,seeded_user_51,user,1541.81,12.0
59,seeded.user.52@example.com,seeded_user_52,user,1497.18,11.0
60,seeded.user.53@example.com,seeded_user_53,user,2874.33,15.0
61,seeded.user.54@example.com,seeded_user_54,user,1156.6599999999999,5.0
62,seeded.user.55@example.com,seeded_user_55,user,1872.56,10.0
63,seeded.user.56@example.com,seeded_user_56,user,1224.58,13.0
64,seeded.user.57@example.com,seeded_user_57,user,3064.6,15.0
65,seeded.user.58@example.com,seeded_user_58,user,2674.37,10.0
66,seeded.user.59@example.com,seeded_user_59,user,1638.49,12.0
67,seeded.user.60@example.com,seeded_user_60,user,1310.06,9.0
68,seeded.user.61@example.com,seeded_user_61,user,1764.52,11.0
69,seeded.user.62@example.com,seeded_user_62,user,4785.96,16.0
70,seeded.user.63@example.com,seeded_user_63,user,2100.22,11.0
71,seeded.user.64@example.com,seeded_user_64,user,1012.49,9.0
72,seeded.user.65@example.com,seeded_user_65,user,1287.71,7.0
73,seeded.user.66@example.com,seeded_user_66,user,2784.75,12.0
74,seeded.user.67@example.com,seeded_user_67,user,2482.64,15.0
75,seeded.user.68@example.com,seeded_user_68,user,2195.4500000000003,14.0
76,seeded.user.69@example.com,seeded_user_69,user,2096.2400000000002,15.0
77,seeded.user.70@example.com,seeded_user_70,user,1426.94,10.0
78,seeded.user.71@example.com,seeded_user_71,user,2189.19,12.0
79,seeded.user.72@example.com,seeded_user_72,user,1966.1,12.0
80,seeded.user.73@example.com,seeded_user_73,user,2687.12,15.0
81,seeded.user.74@example.com,seeded_user_74,user,3327.3,17.0
82,seeded.user.75@example.com,seeded_user_75,user,1113.71,10.0
83,seeded.user.76@example.com,seeded_user_76,user,1457.03,10.0
84,seeded.user.77@example.com,seeded_user_77,user,4210.85,20.0
85,seeded.user.78@example.com,seeded_user_78,user,1943.47,11.0
86,seeded.user.79@example.com,seeded_user_79,user,1456.66,11.0
87,seeded.user.80@example.com,seeded_user_80,user,2095.19,11.0
88,seeded.user.81@example.com,seeded_user_81,user,1366.1,9.0
89,seeded.user.82@example.com,seeded_user_82,user,2480.23,17.0
90,seeded.user.83@example.com,seeded_user_83,user,2896.09,12.0
91,seeded.user.84@example.com,seeded_user_84,user,2294.2599999999998,14.0
